1,2,3,4,5,6,7,8,9
0.0036,0.0036,0.1572,0.0024,0.0024,0.003,0.003,0.0018,0.0036
0.002,0.0061,0.0168,0.0054,0.002,0.004,0.002,0.7645,0.002
0.0011,0.0027,0.0403,0.2025,0.0011,0.8653,0.2407,0.0032,0.0058
0.0013,0.0074,0.0296,0.0013,0.0013,0.8723,0.0013,0.7594,0.0013
0.0009,0.0023,0.0204,0.4426,0.0005,0.388,0.0008,0.7303,0.0007
0.0011,0.0011,0.1751,0.0011,0.0011,0.867,0.0011,0.7632,0.0011
0.0004,0.0007,0.0186,0.0002,0.0002,0.0825,0.0004,0.0002,0.0002
0.0007,0.0005,0.0383,0.0005,0.0007,0.0661,0.0007,0.0002,0.0002
0.0002,0.0002,0.0102,0.91,0.0002,0.8538,0.962,0.0002,0.0002
0.0115,0.0115,0.0287,0.0115,0.0115,0.0115,0.0115,0.0172,0.0115
0.0114,0.0114,0.0284,0.0284,0.3068,0.0568,0.0682,0.1477,0.0114
0.0114,0.0114,0.0227,0.0114,0.0227,0.0114,0.0114,0.0227,0.0114
0.0172,0.0172,0.046,0.0115,0.0115,0.0115,0.0172,0.0115,0.0115
0.0114,0.017,0.0739,0.0114,0.0114,0.0114,0.0114,0.0227,0.0114
0.0115,0.0115,0.023,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115
0.0115,0.0115,0.092,0.1034,0.0115,0.0115,0.0115,0.7644,0.0115
0.0115,0.023,0.023,0.0115,0.0115,0.0115,0.0115,0.0402,0.0115
0.0115,0.0115,0.046,0.0115,0.0115,0.0115,0.0115,0.1034,0.0115
0.0115,0.0115,0.046,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115
0.0115,0.0172,0.0345,0.023,0.1667,0.0115,0.0115,0.7874,0.023
0.0115,0.0115,0.023,0.023,0.023,0.0115,0.0115,0.023,0.023
0.0076,0.0076,0.0191,0.0076,0.0076,0.0076,0.0076,0.2443,0.0076
0.0076,0.0076,0.1221,0.0153,0.0076,0.0229,0.0076,0.0153,0.0229
0.0076,0.0076,0.4733,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076
0.2061,0.2977,0.3969,0.1298,0.1641,0.8588,0.1603,0.0687,0.1679
0.0153,0.0382,0.1221,0.0916,0.0611,0.0153,0.0153,0.0458,0.0763
0.3206,0.5878,0.6908,0.229,0.2481,0.8664,0.2366,0.1374,0.2405
0.0153,0.0191,0.1031,0.0153,0.0534,0.0305,0.0458,0.0305,0.0611
0.0076,0.0076,0.2481,0.0076,0.0076,0.0076,0.0076,0.7634,0.0076
0.0153,0.0076,0.1031,0.0076,0.0076,0.0153,0.0153,0.0076,0.0076
0.0687,0.2901,0.9046,0.0496,0.042,0.0344,0.0573,0.0229,0.0496
0.0006,0.0006,0.0041,0.886,0.9373,0.8352,0.9412,0.7346,0.0096
0.1088,0.141,0.1423,0.069,0.0814,0.0996,0.0848,0.0635,0.0859
0.0002,0.0002,0.0553,0.0002,0.0002,0.0002,0.0002,0.2773,0.0002
0.0005,0.0005,0.0056,0.0004,0.0003,0.8327,0.0003,0.7345,0.0004
0.0007,0.003,0.064,0.0004,0.0005,0.0004,0.0004,0.0004,0.0005
0.0008,0.0008,0.0158,0.0006,0.0007,0.8372,0.0008,0.0003,0.4591
0.0002,0.0003,0.0094,0.4552,0.5197,0.019,0.523,0.2748,0.5202
0.0002,0.0016,0.0617,0.0002,0.0002,0.8338,0.0002,0.0002,0.0002
0.0002,0.0003,0.0133,0.0002,0.0006,0.0055,0.0002,0.0047,0.0002
0.0003,0.0024,0.016,0.4583,0.0003,0.3923,0.5227,0.7357,0.5195
0.0058,0.0087,0.0116,0.0058,0.4249,0.263,0.4277,0.1705,0.0058
0.0093,0.0093,0.0607,0.0093,0.0093,0.0093,0.0093,0.1822,0.0093
0.017,0.017,0.1534,0.017,0.017,0.0085,0.017,0.6619,0.017
0.773,0.773,0.773,0.5086,0.6437,0.7615,0.6034,0.6609,0.6293
0.0229,0.0171,0.2257,0.0171,0.0171,0.0114,0.0114,0.0114,0.0171
0.0058,0.032,0.2267,0.0058,0.0058,0.4215,0.0058,0.0058,0.6163
0.5056,0.5056,0.5056,0.8475,0.435,0.7797,0.4237,0.6808,0.435
0.5714,0.5714,0.5602,0.3496,0.4248,0.7519,0.485,0.1391,0.4286
0.3962,0.4269,0.45,0.2923,0.3154,0.2538,0.2923,0.2692,0.3385
0.0204,0.0459,0.301,0.801,0.0204,0.1939,0.398,0.648,0.0204
0.6654,0.6654,0.6654,0.3885,0.5038,0.75,0.5423,0.6731,0.5462
0.0231,0.0231,0.6,0.2385,0.0231,0.0154,0.0154,0.1308,0.0231
0.0074,0.0074,0.0478,0.0074,0.0074,0.0074,0.0074,0.6912,0.0074
0.7655,0.7655,0.7655,0.5177,0.6637,0.7611,0.6018,0.6858,0.646
0.0088,0.0088,0.2301,0.8319,0.9336,0.0088,0.9204,0.7345,0.0088
0.7299,0.7299,0.7299,0.5182,0.5876,0.4343,0.6058,0.2518,0.5985
0.011,0.011,0.2132,0.3382,0.0147,0.0074,0.0074,0.2757,0.0147
0.012,0.241,0.1928,0.5783,0.012,0.012,0.012,0.8193,0.012
0.0102,0.0102,0.1276,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102
0.0909,0.1364,0.2727,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909
0.0291,0.0922,0.6602,0.0194,0.0291,0.0146,0.0194,0.0146,0.0291
0.7216,0.0619,0.8969,0.8041,0.6701,0.6804,0.6598,0.5876,0.6598
0.0095,0.0095,0.5952,0.0095,0.0095,0.8333,0.0095,0.0571,0.0095
0.034,0.034,0.2282,0.0194,0.0291,0.0243,0.034,0.0146,0.0243
0.0876,0.0361,0.2577,0.0412,0.0619,0.0412,0.0361,0.0361,0.067
0.0196,0.0196,0.2059,0.0196,0.0196,0.0196,0.0196,0.6667,0.0294
0.1456,0.1117,0.2476,0.1748,0.1068,0.0777,0.1553,0.1165,0.1602
0.0095,0.0095,0.5857,0.0333,0.0429,0.9333,0.381,0.1905,0.0095
0.0909,0.1364,0.2727,0.0909,0.0909,0.1364,0.0909,0.6364,0.1364
0.0098,0.0098,0.3775,0.0098,0.0098,0.0098,0.0098,0.8431,0.0098
0.0096,0.0096,0.1587,0.1731,0.024,0.0144,0.0096,0.0096,0.0096
0.0097,0.0777,0.6311,0.0097,0.0097,0.0097,0.0097,0.6456,0.0097
0.0093,0.0467,0.0748,0.0093,0.0561,0.0561,0.0187,0.0748,0.0561
0.1462,0.066,0.0802,0.0802,0.1226,0.0802,0.1509,0.0519,0.1132
0.0095,0.0095,0.119,0.0095,0.0095,0.0095,0.0095,0.2905,0.0095
0.0194,0.0728,0.2524,0.301,0.0874,0.0097,0.1068,0.0485,0.0922
0.0222,0.0222,0.1444,0.0333,0.1556,0.0222,0.0222,0.1556,0.1444
0.0435,0.0435,0.0761,0.0652,0.0435,0.0435,0.0435,0.0435,0.0435
0.0204,0.0306,0.0816,0.0204,0.0306,0.0204,0.0204,0.6224,0.0204
0.0222,0.0333,0.1333,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
0.0612,0.0816,0.551,0.0612,0.0612,0.0612,0.0612,0.0408,0.0612
0.0227,0.0227,0.1477,0.0227,0.0682,0.0795,0.0227,0.0568,0.0227
0.0204,0.0408,0.4898,0.9796,0.0204,0.0204,0.0204,0.8571,0.0204
0.8696,0.8696,0.8696,0.7174,0.7935,0.6304,0.7935,0.4783,0.8043
0.0217,0.0435,0.2826,0.0435,0.0217,0.0435,0.0217,0.4457,0.0217
0.0319,0.0319,0.1064,0.0319,0.0319,0.0426,0.0426,0.383,0.0213
0.0217,0.0217,0.087,0.1957,0.0217,0.7065,0.0217,0.1087,0.0217
0.0204,0.0204,0.449,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0408,0.0816,0.551,0.0408,0.0408,0.0408,0.0408,0.0204,0.0408
0.0227,0.0227,0.5568,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227
0.0204,0.0408,0.4898,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0204,0.0408,0.5102,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0204,0.0408,0.5102,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0222,0.0222,0.4,0.0222,0.1,0.0222,0.0222,0.8444,0.0222
0.0222,0.0222,0.3556,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
0.0889,0.1444,0.4,0.0444,0.0889,0.0444,0.0667,0.8444,0.0667
0.9333,0.9333,0.9333,0.8333,0.8333,0.7,0.8667,0.6111,0.9
0.9333,0.9333,0.9333,0.8111,0.8778,0.7444,0.9111,0.6333,0.8444
0.4111,0.4556,0.5778,0.3333,0.3444,0.2667,0.3778,0.2444,0.3778
0.4111,0.4556,0.5778,0.3444,0.3444,0.3222,0.3778,0.2889,0.3333
0.2444,0.2444,0.1444,0.2222,0.2444,0.2,0.2667,0.2444,0.2889
0.2444,0.2333,0.1444,0.2667,0.2667,0.2222,0.2444,0.1556,0.2444
0.0217,0.0217,0.0652,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217
0.0349,0.0349,0.1163,0.093,0.093,0.093,0.0233,0.6047,0.093
0.1591,0.25,0.3523,0.1136,0.0909,0.0682,0.1136,0.875,0.1364
0.1837,0.551,0.7041,0.7857,0.1429,0.7143,0.6122,0.5816,0.8571
0.0408,0.0714,0.0612,0.0816,0.1224,0.0204,0.102,0.8571,0.051
0.03,0.03,0.05,0.03,0.02,0.02,0.04,0.82,0.02
0.04,0.04,0.1,0.75,0.14,0.02,0.73,0.02,0.04
0.0217,0.0978,0.1087,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217
0.2674,0.2442,0.314,0.1628,0.2326,0.1512,0.2209,0.8953,0.2209
0.0222,0.0333,0.1333,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
